location,compartment,item_type,name,part_number,package_type,quantity,manufacturer,distributor,notes
Cabinet F,Row 5 Column 5,Diode,,1N5237,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 6 Column 1,Diode,,6A10,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 6 Column 2,SINGLE-PHASE SILICON BRIDGE RECTIFIER,,DL06,THRU,5,Electronix Express,Electronix Express,We found something similar to the part in the box.
Cabinet F,Row 6 Column 3,SINGLE-PHASE SILICON BRIDGE RECTIFIER,,RS401,THRU,5,Electronix Express,Electronix Express,
Cabinet F,Row 6 Column 4,SINGLE-PHASE SILICON BRIDGE RECTIFIER,,RS404,THRU,5,Electronix Express,Electronix Express,
Cabinet F,Row 6 Column 5,Drawer Empty,Drawer Empty,,,,,,Empty Drawer
Cabinet C,"Row A Column 1, 2, & 3",Adapter Kit,XBee Adapter Kit,126,N/A,18,Adafruit,Adafruit,
Cabinet C,Row B Column 2,XBee,XBee Pro S2B,S2B,N/A,20,Xbee,XBee,
Cabinet C,Row B Column 3,Breakout,XBee Breakout Board,BOB-08276,N/A,3,Sparkfun,Sparkfun,
Cabinet C,Row C Column 1,Breakout,Current Sensor,904,N/A,10,Adafruit,Adafruit,
Cabinet C,Row C Column 2,Breakout,Charging Circuit,390,N/A,10,Adafruit,Adafruit,
Cabinet C,Row C Column 3,Breakout,XBee USB Explorer,WRL-11812,N/A,7,Sparkfun,Sparkfun,
Cabinet C,Row D Column 2,GPS,GPS Receiver,GPS-08975,N/A,10,Sparkfun,Sparkfun,
Cabinet C,Row D Column 3,Header,Arduino Stacking Header Kits,85,N/A,22,Adafruit,Adafruit,
Cabinet C,Row E Column 1,Box,Tiny Modular Boxes - Blue,427,N/A,10,Adafruit,Adafruit,
Cabinet C,Row E Column 2,Shield,XBee Shield,WRL-12847,N/A,5,Sparkfun,Sparkfun,
Cabinet C,Row E Column 3,Connector,Battery Connectors,N/A,N/A,7,unknown,unknown,
Cabinet C,Row F Column 3,Connector,Female Power Jack,N/A,N/A,6,unknown,unknown,
Cabinet C,Row F Column 3,Connector,Male Power Jack Barrel,CP-035D,N/A,5,Cui Inc,Digi-Key,
Cabinet C,Row B Column 1,XBee,XBee Pro DigiMesh S3B 900HP U.FL,602-1347-ND,N/A,4,XBee,Digi-Key,
Cabinet C,Row B Column 1,XBee,XBee Pro 802.15.4 63MW PCB,602-1280-ND,N/A,4,XBee,Digi-Key,
Cabinet C,Row B Column 1,XBee,XBee DigiMesh 2.4 1MW Wire Ant,XB24-DMWIT-250-ND,N/A,4,XBee,Digi-Key,
Cabinet C,Row B Column 1,XBee,XBee Pro XSC S3B 900MHZ 250MW,602-1297-ND,N/A,4,XBee,Digi-Key,
Cabinet C,Row F Column 1,Breakout,HUZZAH ESP8266 Breakout,2471,N/A,4,Adafruit,Adafruit,
Cabinet C,Row F Column 2,,Thermistor,372,N/A,10,Adafruit,Adafruit,
